name,source,category,path,skill_md,description
algorithmic-art,anthropics,,anthropics/algorithmic-art,anthropics/algorithmic-art/SKILL.md,"Creating algorithmic art using p5.js with seeded randomness and interactive parameter exploration. Use this when users request creating art using code, generative art, algorithmic art, flow fields, or particle systems. Create original algorithmic art rather than copying existing artists' work to avo"
brand-guidelines,anthropics,,anthropics/brand-guidelines,anthropics/brand-guidelines/SKILL.md,"Applies Anthropic's official brand colors and typography to any sort of artifact that may benefit from having Anthropic's look-and-feel. Use it when brand colors or style guidelines, visual formatting, or company design standards apply."
canvas-design,anthropics,,anthropics/canvas-design,anthropics/canvas-design/SKILL.md,"Create beautiful visual art in .png and .pdf documents using design philosophy. You should use this skill when the user asks to create a poster, piece of art, design, or other static piece. Create original visual designs, never copying existing artists' work to avoid copyright violations."
claude-api,anthropics,,anthropics/claude-api,anthropics/claude-api/SKILL.md,"Build, debug, and optimize Claude API / Anthropic SDK apps. Apps built with this skill should include prompt caching. Also handles migrating existing Claude API code between Claude model versions (4.5 → 4.6, 4.6 → 4.7, retired-model replacements). TRIGGER when: code imports `anthropic`/`@anthropic-a"
doc-coauthoring,anthropics,,anthropics/doc-coauthoring,anthropics/doc-coauthoring/SKILL.md,"Guide users through a structured workflow for co-authoring documentation. Use when user wants to write documentation, proposals, technical specs, decision docs, or similar structured content. This workflow helps users efficiently transfer context, refine content through iteration, and verify the doc"
docx,anthropics,,anthropics/docx,anthropics/docx/SKILL.md,"Use this skill whenever the user wants to create, read, edit, or manipulate Word documents (.docx files). Triggers include: any mention of 'Word doc', 'word document', '.docx', or requests to produce professional documents with formatting like tables of contents, headings, page numbers, or letterhea"
frontend-design,anthropics,,anthropics/frontend-design,anthropics/frontend-design/SKILL.md,"Create distinctive, production-grade frontend interfaces with high design quality. Use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples include websites, landing pages, dashboards, React components, HTML/CSS layouts, or when styling/beautify"
internal-comms,anthropics,,anthropics/internal-comms,anthropics/internal-comms/SKILL.md,"A set of resources to help me write all kinds of internal communications, using the formats that my company likes to use. Claude should use this skill whenever asked to write some sort of internal communications (status reports, leadership updates, 3P updates, company newsletters, FAQs, incident rep"
mcp-builder,anthropics,,anthropics/mcp-builder,anthropics/mcp-builder/SKILL.md,"Guide for creating high-quality MCP (Model Context Protocol) servers that enable LLMs to interact with external services through well-designed tools. Use when building MCP servers to integrate external APIs or services, whether in Python (FastMCP) or Node/TypeScript (MCP SDK)."
pdf,anthropics,,anthropics/pdf,anthropics/pdf/SKILL.md,"Use this skill whenever the user wants to do anything with PDF files. This includes reading or extracting text/tables from PDFs, combining or merging multiple PDFs into one, splitting PDFs apart, rotating pages, adding watermarks, creating new PDFs, filling PDF forms, encrypting/decrypting PDFs, ext"
pptx,anthropics,,anthropics/pptx,anthropics/pptx/SKILL.md,"Use this skill any time a .pptx file is involved in any way — as input, output, or both. This includes: creating slide decks, pitch decks, or presentations; reading, parsing, or extracting text from any .pptx file (even if the extracted content will be used elsewhere, like in an email or summary); e"
skill-creator,anthropics,,anthropics/skill-creator,anthropics/skill-creator/SKILL.md,"Create new skills, modify and improve existing skills, and measure skill performance. Use when users want to create a skill from scratch, edit, or optimize an existing skill, run evals to test a skill, benchmark skill performance with variance analysis, or optimize a skill's description for better t"
slack-gif-creator,anthropics,,anthropics/slack-gif-creator,anthropics/slack-gif-creator/SKILL.md,"Knowledge and utilities for creating animated GIFs optimized for Slack. Provides constraints, validation tools, and animation concepts. Use when users request animated GIFs for Slack like ""make me a GIF of X doing Y for Slack."
theme-factory,anthropics,,anthropics/theme-factory,anthropics/theme-factory/SKILL.md,"Toolkit for styling artifacts with a theme. These artifacts can be slides, docs, reportings, HTML landing pages, etc. There are 10 pre-set themes with colors/fonts that you can apply to any artifact that has been creating, or can generate a new theme on-the-fly."
web-artifacts-builder,anthropics,,anthropics/web-artifacts-builder,anthropics/web-artifacts-builder/SKILL.md,"Suite of tools for creating elaborate, multi-component claude.ai HTML artifacts using modern frontend web technologies (React, Tailwind CSS, shadcn/ui). Use for complex artifacts requiring state management, routing, or shadcn/ui components - not for simple single-file HTML/JSX artifacts."
webapp-testing,anthropics,,anthropics/webapp-testing,anthropics/webapp-testing/SKILL.md,"Toolkit for interacting with and testing local web applications using Playwright. Supports verifying frontend functionality, debugging UI behavior, capturing browser screenshots, and viewing browser logs."
xlsx,anthropics,,anthropics/xlsx,anthropics/xlsx/SKILL.md,"Use this skill any time a spreadsheet file is the primary input or output. This means any task where the user wants to: open, read, edit, or fix an existing .xlsx, .xlsm, .csv, or .tsv file (e.g., adding columns, computing formulas, formatting, charting, cleaning messy data); create a new spreadshee"
agent-management,davila7,ai-maestro,davila7/ai-maestro/agent-management,davila7/ai-maestro/agent-management/SKILL.md,"Create, manage, and orchestrate AI agents using the AI Maestro CLI. Use when the user asks to ""create agent"", ""list agents"", ""delete agent"", ""hibernate agent"", ""wake agent"", ""install plugin"", ""show agent"", ""restart agent"", or any agent lifecycle management task."
agent-messaging,davila7,ai-maestro,davila7/ai-maestro/agent-messaging,davila7/ai-maestro/agent-messaging/SKILL.md,"Send and receive cryptographically signed messages between AI agents using the Agent Messaging Protocol (AMP). Use when the user asks to ""send a message to an agent"", ""check agent inbox"", ""message another agent"", ""reply to a message"", ""notify an agent"", or any inter-agent communication task."
docs-search,davila7,ai-maestro,davila7/ai-maestro/docs-search,davila7/ai-maestro/docs-search/SKILL.md,"Search auto-generated codebase documentation for function signatures, API docs, class definitions, and code comments. Use when the user asks to ""search docs"", ""find documentation"", ""look up a function"", ""check the API"", or before implementing changes to verify correct signatures and patterns."
graph-query,davila7,ai-maestro,davila7/ai-maestro/graph-query,davila7/ai-maestro/graph-query/SKILL.md,"Query the code graph database to understand component relationships, dependencies, and change impact. Use when the user asks to ""find callers"", ""check dependencies"", ""what uses this"", ""show relationships"", ""find serializers"", or when reading code and needing to understand what depends on a component"
memory-search,davila7,ai-maestro,davila7/ai-maestro/memory-search,davila7/ai-maestro/memory-search/SKILL.md,"Search conversation history and semantic memory to recall previous discussions, decisions, and context. Use when the user asks to ""search memory"", ""what did we discuss"", ""remember when"", ""find previous conversation"", ""check history"", or before starting work to recall prior decisions."
planning,davila7,ai-maestro,davila7/ai-maestro/planning,davila7/ai-maestro/planning/SKILL.md,"Create and manage persistent markdown planning files for structured task execution. Use when the user asks to ""create a plan"", ""track progress"", ""start a research project"", or when a task requires more than 5 tool calls and needs structured phase tracking to stay focused and avoid goal drift."
agent-evaluation,davila7,ai-research,davila7/ai-research/agent-evaluation,davila7/ai-research/agent-evaluation/SKILL.md,"Testing and benchmarking LLM agents including behavioral testing, capability assessment, reliability metrics, and production monitoring—where even top agents achieve less than 50% on real-world benchmarks Use when: agent testing, agent evaluation, benchmark agents, agent reliability, test agent."
agent-manager-skill,davila7,ai-research,davila7/ai-research/agent-manager-skill,davila7/ai-research/agent-manager-skill/SKILL.md,Manage multiple local CLI agents via tmux sessions (start/stop/monitor/assign) with cron-friendly scheduling.
agent-memory-mcp,davila7,ai-research,davila7/ai-research/agent-memory-mcp,davila7/ai-research/agent-memory-mcp/SKILL.md,"A hybrid memory system that provides persistent, searchable knowledge management for AI agents (Architecture, Patterns, Decisions)."
agent-memory-systems,davila7,ai-research,davila7/ai-research/agent-memory-systems,davila7/ai-research/agent-memory-systems/SKILL.md,"Memory is the cornerstone of intelligent agents. Without it, every interaction starts from zero. This skill covers the architecture of agent memory: short-term (context window), long-term (vector stores), and the cognitive architectures that organize them. Key insight: Memory isn't just storage - it"
agent-tool-builder,davila7,ai-research,davila7/ai-research/agent-tool-builder,davila7/ai-research/agent-tool-builder/SKILL.md,"Tools are how AI agents interact with the world. A well-designed tool is the difference between an agent that works and one that hallucinates, fails silently, or costs 10x more tokens than necessary. This skill covers tool design from schema to error handling. JSON Schema best practices, description"
